,Initial position,Final position,Distance Travelled,Velocity,Class
76,164.53,151.95,-12.58,-3.123754202,Slow Approaching
77,47.36,46.2,-1.16,-0.288883464,Stationary
78,147.62,178.12,30.5,7.570504979,Slow Leaving
79,54.75,52.6,-2.15,-0.535357576,Stationary
80,158.38,1211.68,1053.3,257.554004,Fast Leaving
81,101.3,21.13,-80.17,-19.95847492,Slow Approaching
82,58.37,177.8,119.43,29.68314011,Fast Leaving
83,241.44,115.92,-125.52,-31.15372478,Fast Approaching
84,29.15,110.5,81.35,20.24701774,Slow Leaving
85,146.82,151.96,5.14,1.276283923,Slow Leaving
86,160.1,1211.66,1051.56,257.1301563,Fast Leaving
87,150.18,33.56,-116.62,-29.00995383,Fast Approaching
88,29.39,30.43,1.04,0.259133673,Stationary
89,30.33,30.99,0.66,0.164450001,Stationary
90,31.22,39.05,7.83,1.950807318,Slow Leaving
91,107.19,318.32,211.13,52.32729241,Fast Leaving
92,190.64,88.47,-102.17,-25.37688758,Fast Approaching
93,24.43,26.6,2.17,0.540791679,Stationary
94,26.55,28.83,2.28,0.568285782,Stationary
95,123.99,216.54,92.55,22.96571315,Slow Leaving
96,189.11,90.42,-98.69,-24.51240074,Fast Approaching
97,37.96,128.6,90.64,22.55084012,Slow Leaving
98,316.58,118.02,-198.56,-49.20886119,Fast Approaching
99,25.33,109.95,84.62,21.06280168,Slow Leaving
100,1211.74,180.09,-1031.65,-252.1853199,Fast Approaching
101,40.96,65.88,24.92,6.205357167,Slow Leaving
102,1211.62,1211.64,0.02,0.00481812,Stationary
103,1211.54,10.07,-1201.47,-294.4085456,Fast Approaching
104,63.69,316.99,253.3,62.82309201,Fast Leaving
105,316.56,147.94,-168.62,-41.76091614,Fast Approaching
106,58.67,29.82,-28.85,-7.185833052,Slow Approaching
107,32.01,42.03,10.02,2.496330285,Slow Leaving
108,43.67,51.02,7.35,1.830486807,Slow Leaving
109,45.62,46.62,1,0.24911678,Stationary
110,46.08,47.32,1.24,0.308827109,Stationary
111,46.03,45.29,-0.74,-0.184330192,Stationary
112,46.22,92.4,46.18,11.49294026,Slow Leaving
113,1211.69,314.89,-896.8,-218.7938645,Fast Approaching
114,146.26,43.44,-102.82,-25.57230072,Fast Approaching
115,39.11,50.55,11.44,2.851020175,Slow Leaving
116,150,1211.66,1061.66,259.6230979,Fast Leaving
117,195.84,48.06,-147.78,-36.73371543,Fast Approaching
118,36.21,122.53,86.32,21.47769391,Slow Leaving
119,192.22,154.42,-37.8,-9.379832466,Slow Approaching
